scenario_id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
50,0.2836,0.3038571428571429,0.7212777777777777,0.8319166666666666,0.6655333333333333,0.5549540229885057,0.7343571428571428,0.550939393939394,0.44127083333333333,0.3715964912280702,0.600313725490196,0.8742727272727272,0.6869285714285714,0.8745555555555555,0.6698095238095237,0.5860833333333333,0.3136481481481482,0.2688412698412698,0.3136481481481482,0.2688412698412698,0.5017843137254903,0.9278461538461539
51,0.3043333333333333,0.32607142857142857,0.8404999999999999,0.9253750000000001,0.7446333333333334,0.6012873563218389,0.9790714285714285,0.5738484848484848,0.6504999999999999,0.5500701754385964,0.3984509803921569,0.9090909090909091,0.7173809523809525,0.9141851851851851,0.666952380952381,0.5862916666666667,0.14881481481481482,0.1296190476190476,0.14881481481481482,0.1296190476190476,0.541078431372549,0.8027948717948719
52,0.5471555555555555,0.5862380952380952,0.7832222222222224,0.9174166666666667,0.8642333333333333,0.7075517241379311,0.841190476190476,0.5607878787878788,0.6168958333333333,0.5880701754385965,0.5698235294117647,0.8683333333333334,0.7753333333333333,0.9156296296296296,0.6606904761904762,0.6595416666666668,0.6174999999999999,0.5913333333333333,0.6174999999999999,0.5913333333333333,0.8595882352941177,0.8592564102564103
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.5741555555555555,0.6151666666666666,0.6078055555555556,0.5396249999999999,0.4317,0.4171149425287356,0.5169523809523809,0.6235454545454545,0.4985416666666667,0.41982456140350877,0.3460196078431372,0.38521212121212123,0.3026666666666667,0.693037037037037,0.509547619047619,0.44585416666666666,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.31562745098039213,0.4797948717948718
55,0.06666666666666667,0.07142857142857142,0.04575,0.06862499999999999,0.0549,0.061057471264367814,0.03921428571428571,0.23172727272727273,0,0,0.17907843137254903,0,0,0,0.17823809523809522,0.15595833333333334,0.012314814814814815,0.010555555555555556,0.012314814814814815,0.010555555555555556,0.013039215686274511,0.042230769230769225
56,0.1672666666666667,0.17921428571428574,0.20069444444444445,0.17604166666666668,0.321,0.22097701149425286,0.07142857142857142,0.3358787878787879,0,0.09482456140350877,0.28925490196078435,0,0.1286904761904762,0,0,0.11260416666666666,0.08383333333333334,0.15765079365079365,0.08383333333333334,0.15765079365079365,0,0.07692307692307693
57,0.30131111111111114,0.32283333333333336,0.5219166666666667,0.6529583333333334,0.5223666666666666,0.3470574712643678,0.2857142857142857,0.5847575757575758,0.18995833333333334,0.15996491228070175,0.3396470588235294,0.18181818181818182,0.14285714285714285,0.1265185185185185,0.15276190476190477,0.13366666666666666,0.1322777777777778,0.11338095238095239,0.1322777777777778,0.11338095238095239,0.18462745098039215,0.1645128205128205
58,0.5005555555555556,0.5363095238095239,0.8916944444444445,0.9625416666666667,0.9026333333333334,0.8729655172413792,0.8444047619047619,0.7278787878787878,0.6936458333333333,0.6539122807017544,0.6461764705882354,0.9439696969696969,0.8364047619047619,0.7951481481481482,0.7121190476190475,0.7059791666666667,0.5155925925925925,0.505079365079365,0.5155925925925925,0.505079365079365,0.6449019607843138,0.8158205128205128
59,0.09806666666666668,0.10507142857142858,0.25,0.125,0.1,0.27211494252873564,0.7008333333333332,0,0.44375,0.3736842105263158,0.21715686274509804,0.7688181818181817,0.6040714285714285,0.668148148148148,0.47892857142857137,0.41906249999999995,0.16892592592592592,0.14479365079365078,0.16892592592592592,0.14479365079365078,0.2885490196078431,0.5394871794871794
60,0.20782222222222224,0.22266666666666668,0.5,0.5,0.4678,0.5148045977011494,0.8338809523809524,0.36363636363636365,0.5703958333333332,0.516017543859649,0.5010392156862745,0.8181818181818182,0.6912857142857143,0.7908148148148149,0.7180238095238095,0.6706458333333333,0.21792592592592594,0.2190793650793651,0.21792592592592594,0.2190793650793651,0.3813137254901961,0.7461538461538462
61,0.5624888888888889,0.6026666666666667,0.18863888888888888,0.13433333333333333,0.3053333333333333,0.5159540229885058,0.5056428571428572,0.29000000000000004,0.41820833333333335,0.45631578947368423,0.5855294117647059,0.6415151515151515,0.6453809523809524,0.5983703703703703,0.6231666666666668,0.6689375000000001,0.6235740740740741,0.6287142857142858,0.6235740740740741,0.6287142857142858,0.6241568627450981,0.6354871794871795
62,0.5947777777777777,0.6372619047619047,0.7772777777777777,0.75,0.8,0.7354252873563217,1,0.771,0.7939791666666667,0.8265087719298246,0.5882352941176471,0.9090909090909091,0.9285714285714286,0.9912962962962962,0.7857142857142857,0.8125,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.8777450980392156,0.7692307692307693
63,0.3971111111111111,0.42547619047619045,0.2503333333333333,0.26516666666666666,0.21213333333333334,0.27893103448275863,0.2738333333333333,0.28681818181818186,0.15395833333333334,0.12964912280701754,0.30339215686274507,0.24512121212121213,0.1925952380952381,0.37851851851851853,0.3445714285714286,0.3015,0.1342962962962963,0.11511111111111111,0.1342962962962963,0.11511111111111111,0.217078431372549,0.35374358974358977
64,0.6505333333333334,0.6970000000000001,0.7598611111111111,0.7327916666666667,0.5953666666666667,0.770712643678161,0.9798095238095238,0.689969696969697,0.8727916666666666,0.7397894736842106,0.7521764705882353,0.8469393939393938,0.6719761904761904,0.8759259259259259,0.8405952380952382,0.7412291666666667,0.6187037037037036,0.5346666666666666,0.6187037037037036,0.5346666666666666,0.7828627450980392,0.9633589743589743
65,0.6215333333333334,0.6659285714285714,0.8933888888888889,0.9624583333333334,0.8385333333333334,0.7680919540229884,0.8742619047619049,0.7291818181818182,0.6707083333333334,0.6008947368421053,0.6970000000000001,0.7703636363636364,0.6542619047619048,0.8724814814814814,0.7848571428571428,0.7296041666666666,0.41388888888888886,0.3874126984126984,0.41388888888888886,0.3874126984126984,0.7369411764705883,0.8222564102564103
