id,Specialism,alignment_type,threshold_sum,indicator_sum,indicator_mean,indicator_max,indicator_min,alignment_index
11,Cyber Security Governance & Risk Management,personal,240,84.77,21.192500000000003,67.76,3.57,0.3532083333333333
11,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,88.75,17.75,67.76,3.57,0.29583333333333334
11,Cyber Security Management,personal,870,151.31,7.205238095238095,67.76,2.47,0.17391954022988507
11,Cyber Threat Intelligence,personal,420,65.67999999999999,9.382857142857143,30,3.02,0.15638095238095237
11,Data Protection & Privacy,personal,330,80.3,16.06,60,2.74,0.24333333333333332
11,Digital Forensics,personal,480,44.32,5.54,12.35,3.02,0.09233333333333334
11,Digital Forensics (Industrial Control Systems),personal,570,48.3,5.366666666666666,12.35,3.02,0.08473684210526315
11,Identity & Access Management,personal,510,93.34,10.37111111111111,60,2.47,0.18301960784313726
11,Incident response,personal,330,34.17,4.881428571428572,12.35,3.02,0.10354545454545455
11,Incident response (Industrial Control Systems),personal,420,38.15,4.76875,12.35,3.02,0.09083333333333334
11,Network Monitoring & Intrusion Detection,personal,270,23.47,5.8675,12.35,3.43,0.08692592592592592
11,Secure Operations,personal,420,36.63,4.578749999999999,12.35,2.47,0.08721428571428572
11,Secure Operations (Industrial control systems),personal,480,40.61,4.512222222222222,12.35,2.47,0.08460416666666666
11,Secure System Architecture & Design,personal,540,36.629999999999995,4.57875,12.35,2.47,0.06783333333333333
11,Secure System Architecture & Design (Industrial Control Systems),personal,630,40.60999999999999,4.512222222222222,12.35,2.47,0.06446031746031745
11,Secure System Development,personal,540,36.629999999999995,4.57875,12.35,2.47,0.06783333333333333
11,Secure System Development (Industrial Control Systems),personal,630,40.60999999999999,4.512222222222222,12.35,2.47,0.06446031746031745
11,Security Testing,personal,510,38.97,5.567142857142857,12.35,2.61,0.07641176470588235
11,Vulnerability Management,personal,390,56.9,9.483333333333333,30,3.43,0.1458974358974359
12,Cryptography & Communications Security (Cryptographer),personal,450,239.75,29.96875,43.9,15.91,0.5327777777777778
12,Cryptography & Communications Security (Secure Communications Operator),personal,420,239.75,29.96875,43.9,15.91,0.5708333333333333
12,Cyber Security Audit & Assurance,personal,360,251.95999999999998,41.99333333333333,60,30,0.6998888888888888
12,Cyber Security Governance & Risk Management,personal,240,161.95999999999998,40.49,50.89,30,0.6748333333333333
12,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,185.27999999999997,37.056,50.89,23.32,0.6175999999999999
12,Cyber Security Management,personal,870,613.91,29.233809523809523,90,2.88,0.7056436781609196
12,Cyber Threat Intelligence,personal,420,283.87,40.55285714285714,90,24.69,0.6758809523809524
12,Data Protection & Privacy,personal,330,209.42000000000002,41.884,50.89,30,0.6346060606060606
12,Digital Forensics,personal,480,254.73000000000002,31.84125,60,17.01,0.5306875000000001
12,Digital Forensics (Industrial Control Systems),personal,570,278.05,30.894444444444446,60,17.01,0.4878070175438597
12,Identity & Access Management,personal,510,310.3,34.47777777777778,55.56,15.91,0.6084313725490196
12,Incident response,personal,330,259.03999999999996,37.005714285714284,90,24.69,0.7849696969696969
12,Incident response (Industrial Control Systems),personal,420,282.35999999999996,35.295,90,23.32,0.6722857142857142
12,Network Monitoring & Intrusion Detection,personal,270,188.59,47.1475,90,24.69,0.6984814814814815
12,Secure Operations,personal,420,334.68,41.835,90,18.24,0.7968571428571428
12,Secure Operations (Industrial control systems),personal,480,358,39.77777777777778,90,18.24,0.7458333333333333
12,Secure System Architecture & Design,personal,540,191.85999999999999,23.9825,55.56,8.78,0.3552962962962963
12,Secure System Architecture & Design (Industrial Control Systems),personal,630,215.17999999999998,23.90888888888889,55.56,8.78,0.3415555555555555
12,Secure System Development,personal,540,191.85999999999999,23.9825,55.56,8.78,0.3552962962962963
12,Secure System Development (Industrial Control Systems),personal,630,215.17999999999998,23.90888888888889,55.56,8.78,0.3415555555555555
12,Security Testing,personal,510,195.57000000000002,27.93857142857143,50.89,8.78,0.3834705882352942
12,Vulnerability Management,personal,390,239.75000000000003,39.958333333333336,90,20.3,0.6147435897435898
13,Cryptography & Communications Security (Cryptographer),personal,450,300.43,37.55375,80.6,19.01,0.6676222222222222
13,Cryptography & Communications Security (Secure Communications Operator),personal,420,300.43,37.55375,80.6,19.01,0.7153095238095238
13,Cyber Security Audit & Assurance,personal,360,279.37,46.56166666666667,60,30,0.7760277777777778
13,Cyber Security Governance & Risk Management,personal,240,189.37,47.3425,53.44,30,0.7890416666666666
13,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,225.39000000000001,45.078,53.44,30,0.7513000000000001
13,Cyber Security Management,personal,870,696.72,33.17714285714286,90,2.96,0.8008275862068965
13,Cyber Threat Intelligence,personal,420,390.04,55.72,90,18.05,0.9286666666666668
13,Data Protection & Privacy,personal,330,249.23000000000002,49.846,60,30,0.7552424242424243
13,Digital Forensics,personal,480,306.11,38.26375,60,15.17,0.6377291666666667
13,Digital Forensics (Industrial Control Systems),personal,570,342.13,38.01444444444444,60,15.17,0.6002280701754386
13,Identity & Access Management,personal,510,408.06000000000006,45.34,79.92,30,0.8001176470588236
13,Incident response,personal,330,291.01,41.572857142857146,90,2.96,0.8818484848484848
13,Incident response (Industrial Control Systems),personal,420,327.03,40.87875,90,2.96,0.7786428571428571
13,Network Monitoring & Intrusion Detection,personal,270,260.6,65.15,90,30,0.9651851851851853
13,Secure Operations,personal,420,391.28000000000003,48.910000000000004,90,18.05,0.9316190476190477
13,Secure Operations (Industrial control systems),personal,480,427.3,47.47777777777778,90,18.05,0.8902083333333334
13,Secure System Architecture & Design,personal,540,239.21999999999997,29.9025,53.31,2.96,0.44299999999999995
13,Secure System Architecture & Design (Industrial Control Systems),personal,630,275.23999999999995,30.582222222222224,53.31,2.96,0.4368888888888888
13,Secure System Development,personal,540,239.21999999999997,29.9025,53.31,2.96,0.44299999999999995
13,Secure System Development (Industrial Control Systems),personal,630,275.23999999999995,30.582222222222224,53.31,2.96,0.4368888888888888
13,Security Testing,personal,510,314.71999999999997,44.96,80.6,15.17,0.6170980392156862
13,Vulnerability Management,personal,390,337.67,56.278333333333336,90,30,0.8658205128205129
14,Cryptography & Communications Security (Cryptographer),personal,450,169.28,21.16,37.72,0,0.3761777777777778
