id,Specialism,max_threshold_value,alignment_sum,alignment_index,alignment_mean,max,min
6,Security Testing,510,181.68,0.3562352941176471,25.954285714285714,100,0
6,Vulnerability Management,390,180,0.46153846153846156,30,100,0
7,Cryptography & Communications Security (Cryptographer),450,341.09999999999997,0.7579999999999999,42.6375,94.51,3.16
7,Cryptography & Communications Security (Secure Communications Operator),420,311.09999999999997,0.7407142857142857,38.8875,94.51,3.16
7,Cyber Security Audit & Assurance,360,48.39000000000001,0.13441666666666668,8.065,70.51,3.02
7,Cyber Security Governance & Risk Management,240,14.69,0.06120833333333333,3.6725,4.39,3.02
7,Cyber Security Governance & Risk Management (Industrial Control Systems),300,74.69,0.24896666666666667,14.938,61.18,3.02
7,Cyber Security Management,870,344.72,0.3962298850574713,16.415238095238095,99.04,1.37
7,Cyber Threat Intelligence,420,153.06,0.36442857142857144,21.865714285714287,92.18,3.02
7,Data Protection & Privacy,330,75.37,0.2283939393939394,15.074000000000002,87.52,3.16
7,Digital Forensics,480,164.41,0.34252083333333333,20.55125,92.18,1.37
