"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"14157","62","Cyber Security Governance & Risk Management, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14158","62","Cyber Security Governance & Risk Management, Identity & Access Management",30,100,0.3,2
"14159","62","Cyber Security Governance & Risk Management, Incident response",150,250.21,0.599496423004676,2
"14160","62","Cyber Security Governance & Risk Management, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14161","62","Cyber Security Governance & Risk Management, Network Monitoring & Intrusion Detection",90,200,0.45,2
"14162","62","Cyber Security Governance & Risk Management, Secure Operations",60,150.21,0.399440782903934,2
"14163","62","Cyber Security Governance & Risk Management, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14164","62","Cyber Security Governance & Risk Management, Secure System Architecture & Design",0,0,NA,2
"14165","62","Cyber Security Governance & Risk Management, Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14166","62","Cyber Security Governance & Risk Management, Secure System Development",0,0,NA,2
"14167","62","Cyber Security Governance & Risk Management, Secure System Development (Industrial Control Systems)",0,0,NA,2
"14168","62","Cyber Security Governance & Risk Management, Security Testing",120,200,0.6,2
"14169","62","Cyber Security Governance & Risk Management, Vulnerability Management",120,200,0.6,2
"14170","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Security Management",90,250.21,0.359697853802806,2
"14171","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14172","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Data Protection & Privacy",0,0,NA,2
"14173","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics",110.21,150.21,0.73370614473071,2
"14174","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14175","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Identity & Access Management",30,100,0.3,2
"14176","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response",150,250.21,0.599496423004676,2
"14177","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14178","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Network Monitoring & Intrusion Detection",90,200,0.45,2
"14179","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations",60,150.21,0.399440782903934,2
"14180","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14181","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design",0,0,NA,2
"14182","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14183","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development",0,0,NA,2
"14184","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development (Industrial Control Systems)",0,0,NA,2
"14185","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Security Testing",120,200,0.6,2
"14186","62","Cyber Security Governance & Risk Management (Industrial Control Systems), Vulnerability Management",120,200,0.6,2
"14187","62","Cyber Security Management, Cyber Threat Intelligence",210,250.21,0.839294992206546,2
